id,park_name,closed_day,operator,phone,area_sqm,night_light,location,usage_fee,operating_hours,special_notes,flooring,large_dog_allowed,latitude,longitude
1,은평구 반려견 놀이터,"월요일, 동절기 휴장 (12월 ~ 2월)",은평구,02-351-6842,1300.00,없음,서울 은평구 진광동 42 ※은평인공암벽장 맞은편 물푸레근린공원 진입 후 올라오면 오른쪽에 위치,무료,10:00 ~ 19:00,,흙,가능 (소형견/중대형견 공간 분리),37.63936535,126.91440712
2,어린이대공원,'26년1월29일(목) 및 '26년2월3일(화) 정비로 휴장,서울시 동물보호과,02-2133-7650,747.00,있음,광진구 능동로 216(구의문주차장 옆),무료,24시간 상시개방['26년1월29일(목) 및 '26년2월3일(화) 정비로 휴장],'26년1월29일(목) 및 '26년2월3일(화) 정비로 휴장,흙,가능 (소형견/중대형견 공간 분리),37.55201179,127.07877024
3,월드컵공원,연중무휴['26년2월2일(월) 및 '26년2월5일(목) 정비로 휴장],서울시 동물보호과,02-2133-7650,1638.00,있음,마포구 증산로 32(평화의 공원 주차장 옆),무료,24시간 상시개방,'26년2월2일(월) 및 '26년2월5일(목) 정비로 휴장,흙,가능,37.56410596,126.89234657
4,보라매공원,연중무휴['26년1월30일(금) 및 '26년2월4일(수) 정비로 휴장],서울시 동물보호과,02-2133-7650,1300.00,있음,동작구 여의대방로20마길 11(보라매공원향기원 옆),무료,24시간 상시개방,'26년1월30일(금) 및 '26년2월4일(수) 정비로 휴장,흙,가능,37.49067469,126.91883765
5,매헌시민의숲,연중무휴,서울특별시,02-2133-7650,843.00,있음,서울 서초구 매헌로99 (양재천교 인근),무료,24시간 상시개방,,흙,가능 (소형견/중대형견 공간 분리),37.47304980,127.03697708
6,초안산근린공원,*동절기 휴장,도봉구,02-2091-4474,800.00,있음,도봉구 해등로3길 48-11 (초안산근린공원),무료,화~일 10:00~19:00,,흙,가능,37.64749404,127.04138413
7,송파구 반려견 놀이터,연중무휴,송파구,02-2147-2836,1221.00,없음,송파구 가락동 508 탄천유수지,무료,24시간 상시개방,,콘크리트,가능,37.49641284,127.10049917
8,영등포구 반려견 놀이터,연중무휴,영등포구,02-2670-4968,116.00,있음,영등포구 문래동6가 52(안양천 오목교 부근),무료,10:00 ~ 19:00,,흙,불가,37.52115759,126.88055091
9,동대문구 반려견 놀이터,연중무휴,동대문구,02-2127-4282,732.00,없음,동대문구 장안동 316-15(중랑천 장안교 하부),무료,24시간 상시개방,중소형견장은 야간조명 있음 대형견장은 조성 예정,인조잔디,가능,37.57978939,127.07576875
10,북서울꿈의숲,"동절기 휴장(3.1까지), 월요일",강북구,02-901-6463,815.00,있음,서울 강북구 월계로 173 (번동),무료,10:00 ~ 19:00 *하절기 20시까지,,흙,가능,37.62025446,127.04432473
11,성동구 반려견 놀이터,연중무휴,성동구,02-2286-6854,770.00,있음,서울 성동구 송정동 73-24(송정교 하부),무료,24시간 상시개방,,야자매트,가능,37.55238819,127.06604742
12,금천구 반려견 놀이터,연중무휴,금천구,02-2627-2592,757.00,있음,서울 금천구 시흥동 784-21(안양천변 유휴공간),무료,24시간 상시개방,없음,콘크리트,가능,37.45164587,126.89521131
13,마포구 반려견 놀이터,"공휴일, 혹서기, 혹한기",마포구,02-3153-8542,372.00,없음,서울 마포구 마포동 36-4(마포유수지 공영주차장 옆),무료,월~금 10:00~18:00,없음,흙,불가,37.53827367,126.94327978
14,마포 반려동물 캠핑장(반려견 놀이터),매주 월요일,마포구,02-3153-8543,2000.00,있음,"서울 마포구 상암동 482-179, 180(난지한강공원 내)",공공서비스예약 사이트에서 확인(yeyak.seoul.go.kr),화~일(10:00~21:00),없음,흙,가능,37.56471688,126.87881935
15,구로구 반려견 놀이터,연중무휴,구로구,02-860-2614,2600.00,없음,서울 구로구 구로2동 621-8일대(안양천 고척교 하단),무료,24시간 상시개방,없음,흙/인조잔디,가능,37.49993866,126.87052417
16,용답 반려견 놀이터(전농생태하천),"폭우, 폭설 등 기상 악화 시 임시 휴장",성동구,02-2286-6854,600.00,있음,서울 성동구 용답동 182 전농생태하천 내,무료,24시간 상시개방,,인조잔디,가능 (소형견/중대형견 공간 분리),37.56066886,127.05525826
