trail_name,avg_slope,slope_type,soil_type
도곡근린공원,22.5,경사,사양질
도산근린공원,4.5,완만,사양질
9코스-대모 구룡산 코스,1.0,평지,사양질
고덕산 산책길,11.0,경사,사양질
고덕산 자락길,1.0,평지,사양질
올림픽공원,4.5,완만,사양질
율현공원,1.0,평지,사질
선정릉나들길,22.5,경사,식양질
성내천길,0.0,경사,기타
세곡천,1.0,평지,사질
송파나루근린공원(석촌호수),1.0,평지,사질
아시아근린공원,1.0,평지,사질
오금근린공원,4.5,완만,식양질
광평근린공원,45.0,경사,사양질
길동생태공원,45.0,경사,식양질
대모산도시자연공원,11.0,경사,사양질
몽촌토성 나들길,4.5,완만,식양질
석촌호수 산책길,1.0,평지,사질
7코스-일자산 코스,22.5,경사,사양질
8코스-장지 탄천 코스,1.0,평지,사양질
송파강동한강길,0.0,경사,기타
송파소리길,1.0,평지,사질
일자산근린공원,4.5,완만,식양질
장지근린공원,4.5,완만,식양질
천마근린공원,45.0,경사,사양질
고덕천길,1.0,평지,사양질
구룡산 나들길,1.0,평지,사양질
동명근린공원,4.5,완만,식양질
명일근린공원,22.5,경사,사양질
문정근린공원,22.5,경사,식양질
양재천,1.0,평지,사질
일자산 숲 나들길,22.5,경사,식양질
탄천길,0.0,경사,기타
봉은공원,22.5,경사,식양질
샛마을근린공원,11.0,경사,식양질
천호근린공원,1.0,평지,사양질
청담근린공원,22.5,경사,식양질
허브천문공원,4.5,완만,식양질
대모산 나들길,11.0,경사,사양질
독정천,1.0,평지,사양질
망월천길,1.0,평지,사양질
