district,AREA_NM,TEMP,SENSIBLE_TEMP,HUMIDITY,WIND_SPD,WIND_DIRCT,PRECIPITATION,PRECPT_TYPE,PCP_MSG,UV_INDEX,UV_INDEX_LVL,PM10,PM10_INDEX,PM25,PM25_INDEX,AIR_IDX,AIR_MSG,WEATHER_TIME,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MIN,AREA_PPLTN_MAX,PPLTN_TIME,ROAD_TRAFFIC_SPD,ROAD_TRAFFIC_IDX,ROAD_TRAFFIC_TIME,ACDNT_CNT,EVENT_YN,DST_MSG_CNT,sdot_avg_noise,sdot_max_noise,sdot_avg_vibr_x,sdot_avg_vibr_y,sdot_avg_vibr_z
Gangnam-gu,가로수길,9.9,10.5,95,2.7,NNE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,17,좋음,13,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,32000,34000,2026-04-09 15:40,17,서행,2026-04-09 16:05,0,0,0,50.3,53.525,0.018250000000000006,0.04725000000000001,0.72
Gangnam-gu,강남 MICE 관광특구,10.0,10.0,96,1.1,ENE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,17,좋음,13,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,28000,30000,2026-04-09 15:40,12,정체,2026-04-09 16:05,0,0,0,50.3,53.525,0.018250000000000006,0.04725000000000001,0.72
Gangnam-gu,강남역,10.0,10.0,96,1.1,ENE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,26,좋음,23,보통,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,86000,88000,2026-04-09 15:40,12,정체,2026-04-09 16:05,0,0,0,50.3,53.525,0.018250000000000006,0.04725000000000001,0.72
Gangdong-gu,고덕역,9.4,9.8,95,3.1,NE,1.0mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,16,좋음,16,보통,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,2026-04-09 15:40,21,서행,2026-04-09 16:05,0,0,0,55.46478873239437,58.74647887323944,0.01760563380281691,0.030281690140845068,0.5640845070422534
Gangnam-gu,고속터미널역,9.8,11.3,98,1.4,NNE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,26,좋음,23,보통,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,20000,22000,2026-04-09 15:40,16,서행,2026-04-09 16:05,0,0,0,50.3,53.525,0.018250000000000006,0.04725000000000001,0.72
Gangnam-gu,교대역,10.0,10.0,96,1.1,ENE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,26,좋음,23,보통,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,24000,26000,2026-04-09 15:40,15,서행,2026-04-09 16:05,0,0,0,50.3,53.525,0.018250000000000006,0.04725000000000001,0.72
Gangdong-gu,서울 암사동 유적,9.5,10.5,96,2.1,NNE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,16,좋음,16,보통,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,200,300,2026-04-09 15:40,23,서행,2026-04-09 16:05,0,0,0,55.46478873239437,58.74647887323944,0.01760563380281691,0.030281690140845068,0.5640845070422534
Gangnam-gu,선릉역,10.0,10.0,96,1.1,ENE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,17,좋음,13,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,66000,68000,2026-04-09 15:40,14,정체,2026-04-09 16:05,0,0,0,50.3,53.525,0.018250000000000006,0.04725000000000001,0.72
Songpa-gu,송리단길·호수단길,10.3,10.3,94,1.3,ESE,2.0mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,15,좋음,14,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,6000,6500,2026-04-09 15:40,17,서행,2026-04-09 16:05,0,0,0,49.85294117647059,53.35294117647059,0.02147058823529412,0.04882352941176473,0.9126470588235295
Gangnam-gu,신논현역·논현역,10.0,10.0,96,1.1,ENE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,17,좋음,13,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,14000,16000,2026-04-09 15:40,13,정체,2026-04-09 16:05,0,0,0,50.3,53.525,0.018250000000000006,0.04725000000000001,0.72
Gangnam-gu,압구정로데오거리,9.9,10.5,95,2.7,NNE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,17,좋음,13,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,34000,36000,2026-04-09 15:40,12,정체,2026-04-09 16:05,0,1,0,50.3,53.525,0.018250000000000006,0.04725000000000001,0.72
Gangnam-gu,양재역,10.0,10.0,96,1.1,ENE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,26,좋음,23,보통,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,20000,22000,2026-04-09 15:40,17,서행,2026-04-09 16:05,0,0,0,50.3,53.525,0.018250000000000006,0.04725000000000001,0.72
Gangnam-gu,역삼역,10.0,10.0,96,1.1,ENE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,17,좋음,13,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,48000,50000,2026-04-09 15:40,12,정체,2026-04-09 16:05,0,1,0,50.3,53.525,0.018250000000000006,0.04725000000000001,0.72
Songpa-gu,잠실 관광특구,10.1,10.1,94,1.7,NNE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,15,좋음,14,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,56000,58000,2026-04-09 15:40,18,서행,2026-04-09 16:05,0,1,0,49.85294117647059,53.35294117647059,0.02147058823529412,0.04882352941176473,0.9126470588235295
Songpa-gu,잠실롯데타워·석촌호수,10.1,10.1,94,1.7,NNE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,15,좋음,14,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,50000,52000,2026-04-09 15:40,15,서행,2026-04-09 16:05,0,1,0,49.85294117647059,53.35294117647059,0.02147058823529412,0.04882352941176473,0.9126470588235295
Songpa-gu,잠실새내역,10.3,10.3,94,1.3,ESE,2.0mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,15,좋음,14,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,2026-04-09 15:40,17,서행,2026-04-09 16:05,0,0,0,49.85294117647059,53.35294117647059,0.02147058823529412,0.04882352941176473,0.9126470588235295
Songpa-gu,잠실역,10.1,10.1,94,1.7,NNE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,15,좋음,14,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,약간 붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,28000,30000,2026-04-09 15:40,15,서행,2026-04-09 16:05,0,0,0,49.85294117647059,53.35294117647059,0.02147058823529412,0.04882352941176473,0.9126470588235295
Songpa-gu,잠실종합운동장,10.3,10.3,94,1.3,ESE,2.0mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,15,좋음,14,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,2500,3000,2026-04-09 15:40,20,서행,2026-04-09 16:05,0,0,0,49.85294117647059,53.35294117647059,0.02147058823529412,0.04882352941176473,0.9126470588235295
Songpa-gu,잠실한강공원,10.1,10.1,94,1.7,NNE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,20,좋음,15,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,1500,2000,2026-04-09 15:40,31,원활,2026-04-09 16:05,0,0,0,49.85294117647059,53.35294117647059,0.02147058823529412,0.04882352941176473,0.9126470588235295
Songpa-gu,장지역,10.3,10.3,94,1.3,ESE,2.0mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,15,좋음,14,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,18000,20000,2026-04-09 15:40,18,서행,2026-04-09 16:05,0,0,0,49.85294117647059,53.35294117647059,0.02147058823529412,0.04882352941176473,0.9126470588235295
Gangdong-gu,천호역,10.1,10.1,94,1.7,NNE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,16,좋음,16,보통,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,8000,8500,2026-04-09 15:40,15,서행,2026-04-09 16:05,0,0,0,55.46478873239437,58.74647887323944,0.01760563380281691,0.030281690140845068,0.5640845070422534
Gangnam-gu,청담동 명품거리,9.9,10.5,95,2.7,NNE,1.5mm,비,약한 비가 내리고 있어요.외출 시 우산을 챙기세요.,낮음,1,17,좋음,13,좋음,보통,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2026-04-09 16:00,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,8500,9000,2026-04-09 15:40,14,정체,2026-04-09 16:05,0,1,0,50.3,53.525,0.018250000000000006,0.04725000000000001,0.72
